From PharmaBraille https://www.pharmabraille.com/pharmaceutical-braille/the-braille-alphabet/
a	⠁	1
b	⠃	12
c	⠉	14
d	⠙	145
e	⠑	15
f	⠋	124
g	⠛	1245
h	⠓	125
i	⠊	24
j	⠚	245
k	⠅	13
l	⠇	123
m	⠍	134
n	⠝	1345
o	⠕	135
p	⠏	1234
q	⠟	12345
r	⠗	1235
s	⠎	234
t	⠞	2345
u	⠥	136
v	⠧	1236
w	⠺	2456
x	⠭	1346
y	⠽	13456
z	⠵	1356
number	⠼	3456
letter	⠤	36
1	⠼⠁	3456 1
2	⠼⠃	3456 12
3	⠼⠉	3456 14
4	⠼⠙	3456 145
5	⠼⠑	3456 15
6	⠼⠋	3456 124
7	⠼⠛	3456 1245
8	⠼⠓	3456 125
9	⠼⠊	3456 24
0	⠼⠚	3456 245
,	⠂	2
;	⠆	23
:	⠒	25
.	⠲	256
?	⠦	236
!	⠖	235
‘	⠄	3
'	⠄	3
“	⠄⠶	3 2356
“	⠘⠦	45 236
”	⠘⠴	45 356
‘	⠄⠦	3 236
’	⠄⠴	3 356
(	⠐⠣	5 126
)	⠐⠜	5 345
/	⠸⠌	456 34
\	⠸⠡	456 16
–	⠤	36
-	⠤	36
– 	⠠⠤	6 36
— 	⠐⠠⠤	5 6 36
